,Find,Gender,Age,Name,MissingDay,Location,Description,IMG
2421,믹스견(진돗개 - 래브라도리트리버 믹스) , 암컷 , 1살미만 , 이름(양지),2019-05-20,경기도 고양시 덕양구 솔벗 식당 뒷골목 굴다리 건너 관산동 사리현동 가는 길,파란색 목줄하고 있구요. 흰색인데 귀 있는 부분이 조금 갈색이에요. 사람을 아주 잘 따릅니다. 새끼 강아지에요,http://www.angel.or.kr/report/dog/upImg/1558425159_1750679533.jpg
2422,웰시 코기 카디건 , 수컷 , 나이모름 , 이름(몽이),2019-05-20,경상남도 양산시 월평에서 덕계가는길,엉덩이쪽 수술한적이 있어서 털이 다른곳 보다 적다 꼬리가없다 엄청 잘짖는다,http://www.angel.or.kr/report/dog/upImg/1558408795_322700489.jpg
2423,말티즈 , 수컷 , 6살 , 이름(누리),2019-05-20,경기도 의정부시 의정부시등기소앞우정어린이공원근처빌라,사람잘따르고온순겁많음.왼쪽귀가잘림.목뒷덜미3cm파인흉터있음.미용한지 얼마않됨.전체3mm컷 상태.양쪽 눈물자국.밑앞니가 없어 혀가잘나옴.몸무게4.2kg,http://www.angel.or.kr/report/dog/upImg/1558363685_1625938025.jpg
2424,치와와 , 수컷 , 4살 , 이름(마음이),2019-05-19,경기도 포천시 포천시 영북면 운천리,갈색이구요.배는흰색이에요,http://www.angel.or.kr/report/dog/upImg/1558363553_1659670625.jpg
2425,믹스견 , 암컷 , 5살 , 이름(똘이),2019-05-20,경기도 광명시 광명7동 한진아파트 부근,"쫑긋한 귀, 점박이, 5kg정도의 작은 체구입니다. 겁이 많고 잘 짖지 않습니다. 경기도 광명시 광명7동 한진아파트 부근에서 사라졌습니다. 보신 분들 ***-****-**** 으로 연락 부탁드립니다.",http://www.angel.or.kr/report/dog/upImg/1558344931_766874589.jpg
2426,진돗개 , 수컷 , 1살 , 이름(뿌끄),2019-05-15,전라북도 군산시 수송동 수송초등학교 정문 쪽,진돗개와 리트리버 믹스로 귀가 접혀있음 파란색 목줄을 하고있음 새깔 갈색에 크기는 대형견에서 중형견사이,http://www.angel.or.kr/report/dog/upImg/1558343630_1813833898.jpg
2427,시베리안 허스키 , 수컷 , 3살 , 이름(황금이),2019-05-19,경기도 고양시 덕양구 원당 수역이마을,검/흰 시베리안허스크,http://www.angel.or.kr/report/dog/upImg/1558331037_1189771207.jpg
2428,미니어쳐 핀셔 , 암컷 , 12살 , 이름(까망이),2019-05-04,전라남도 목포시 하당 기업은행 근방,"까만색,3kg이하의 마른체형 앞니 발치하여 없음.단미함. 수염이 대부분 흰털. 순하고 사람을 좋아함. 짖음이 있음.",http://www.angel.or.kr/report/dog/upImg/1558286629_1862575088.jpg
2429,포메라니언 , 수컷 , 9살 , 이름(테디),2019-04-22,경기도 양평군 복포리 별밭마을 앞,갈색이며 배부분은 흰색,http://www.angel.or.kr/report/dog/upImg/1558277132_132353947.jpg
2430,말티즈 , 암컷 , 8살 , 이름(단지),2019-05-19,경상북도 영천시 보현리 배양골 길 59,2.5kg으로 매우 작습니다. 미용한지 얼마안되어 털이 짧고 피부에 회색 반점이 나있습니다. 옷은 노란색옷에 검은줄무늬가있습니다.,http://www.angel.or.kr/report/dog/upImg/1558277316_653596857.jpg
2431,진돗개 , 수컷 , 4살 , 이름(해봉),2019-05-03,"서울특별시 은평구 응암초, 명지전문대 근처",사나움 갈색 귀 카키색목걸이,http://www.angel.or.kr/report/dog/upImg/1558249507_1233561332.jpg
2432,포메라니언 , 수컷 , 5살 , 이름(김여름),2019-05-19,부산광역시 연제구 거제시장 부근,모두 흰색. 등쪽이 약간 노란빛,http://www.angel.or.kr/report/dog/upImg/1558245990_303984528.jpg
2433,래브라도 리트리버 , 수컷 , 1살 , 이름(복길이),2019-03-17,경기도 화성시 향남읍 화리현리,이름과 연락처 적힌 목걸이를 하고 있습니다,http://www.angel.or.kr/report/dog/upImg/1558198445_1337572567.jpg
2434,치와와 , 수컷 , 6살 , 이름(치토스),2019-05-15,"제주특별자치도 제주시 신창리에서 실종, 최근 용수리에서 제보",까만색 단모 치와와입니다. 중성화 시켰고 최근에 뇌신경 이상을 진단받아서 약을 먹이지 않으면 경련/발작이 있습니다.,http://www.angel.or.kr/report/dog/upImg/1558153364_1805566605.jpg
2435,미니어처 푸들 , 수컷 , 1살미만 , 이름(아람이),2019-05-18,서울특별시 강서구 방화1동 611번지 부근,털이 복실복실하고 에프리푸들입니다. 갈색푸들이에요.,http://www.angel.or.kr/report/dog/upImg/1558146657_1314637559.jpg
2436,믹스견 , 암컷 , 2살 , 이름(몽실이),2019-05-17,경기도 양평군 백안3리 마을회관 근처,하얀털을 가지고 있고 꼬리가 짧고 털이 많은편. 갈색목줄을 하고 있음. 진돗개치고는 크기가 좀 작은편이며 말랐음,http://www.angel.or.kr/report/dog/upImg/1558231818_1423067926.jpg
2437,말티즈 , 암컷 , 3살 , 이름(복이),2019-05-15,경기도 부천시 소사구 원종동 69-18 욱일 6차 아파트,"중성화ㅇ 몸통털만 밀려있고 귀,꼬리,다리 털이 김 2키로 크기가 작음 머리를 묶고있고 연두색 빗살핀 착용 머리가 풀렸을 가능성도있음 겁이많음",http://www.angel.or.kr/report/dog/upImg/1557964802_1532547652.jpg
2438,토이 푸들 , 수컷 , 1살미만 , 이름(시월이),2019-05-15,광주광역시 광산구 광주 첨단 월계동 천곡중학교부근,- 품종(종류) : 크림토이푸들 - 나이 : 8개월 - 성별 :수컷 - 몸무게 :4~5kg - 잃어버린 장소 : 광주 첨단 월계동 천곡중학교 부근 얼굴 털은 동그랗고 몸통털은 짧아요 그리고 송곳니가 두개씩 나있어요 찾으시면 연락바랍니다.. ***-****-****,
2439,페키니즈 , 암컷 , 5살 , 이름(양으니),2019-05-14,경기도 광주시 오포읍 신현리 문형산안길 산들마을,작은사이즈.5키로미만. 미용을 하여 털이짧고. 눈물을많이흘려 눈물자국이 좀심함. 다리가 짧고.몸집도작음. 다른페키에비해얼굴과 몸집이 작음. 사람을잘따라감.,
2440,믹스견(갈색 사슴같은 강아지) , 암컷 , 17살 , 이름(뽀삐),2019-05-14,대구광역시 남구 영대병원역 명덕시장 영남이공대학 부근,귀가크고 꼬리가짧고 마른체형의 갈색강아지 옷을입지않고있으며 사람을경계하고 나이가많음,http://www.angel.or.kr/report/dog/upImg/1557874000_466260557.jpg
2441,믹스견(스피츠 포메라니안 혼혈) , 수컷 , 6살 , 이름(지몽이),2019-05-14,서울특별시 동작구 노량진2동 제2동동사무소 부근,왼쪽 눈끝에 뭐가 작게 나있음 미용한지 얼마안되서 털이 매우짧음 중성화수술 되어있고 성대수술때문에 잘 짖지 못함,http://www.angel.or.kr/report/dog/upImg/1557844416_1620001472.jpg
2442,요크셔 테리어 , 암컷 , 17살 , 이름(요요),2019-05-14,부산광역시 수영구 광남초등학교 뒤 주택 수영구청부근,암컷이고 첫번째사진에 나와있는 하얀바탕에 작은미키마우스무늬 옷입고있음. 귀가잘안들림. 노견답지않게 어려보이는 얼굴. 이마 부근 털속에 땜빵있음.,http://www.angel.or.kr/report/dog/upImg/1557824690_1882659750.jpg
2443,미니어처 푸들 , 암컷 , 10살 , 이름(돼랑이),2019-02-05,전라남도 해남군 북일면,눈이땡글하고 마른편이예요..,http://www.angel.or.kr/report/dog/upImg/1557717257_380562141.jpg
2444,미니어처 푸들 , 수컷 , 6살 , 이름(준이),2019-05-12,서울특별시 동대문구 장안동 448 대명연립주택,눈위에 점이 있습니다. 다른 푸들에 비해 크기가 크며 6-8KG 정도 무게가 나갑니다. 또 사람을 좋아하지만 겁이 많습니다.,http://www.angel.or.kr/report/dog/upImg/1557712440_75272508.jpg
2445,믹스견(발바리) , 암컷 , 11살 , 이름(소망이),2019-05-11,경기도 수원시 권선구 구운동 집 근처,"얼굴이 검고 발이 흰털, 몸에 있는 털은 밀려있고 꼬리와 엉덩이는 긴털 겁이많고 낯선사람에게 짖는다",http://www.angel.or.kr/report/dog/upImg/1557673210_1860070393.jpg
2446,믹스견(백구) , 수컷 , 1살미만 , 이름(똥똑이),2019-05-12,충청북도 청주시 서원구 사직2동 국보제약 골목 심지약국 주택가 쪽,아직 어린 강아지입니다. 하얀털에 조금씩 보이는 검정색 점 ?이 옅은 색으로 등에 약간씩 있고 꼬리는 짧은 백구 같은 아이예요,http://www.angel.or.kr/report/dog/upImg/1557814438_2076652827.jpg
2447,미니어처 푸들 , 수컷 , 3살 , 이름(에디),2019-05-11,대전광역시 서구 다모아아파트 앞 육교 건너편 화장실 근처 갑천 일대,털이 복실복실하고 꼬리만 털이 깎여서 쥐꼬리같아요 단미 안되어 있어서 꼬리가 길어요 겁이 많아서 다가가면 도망하고 자전거 오토바이 같은걸 보면 쫓아가요...,http://www.angel.or.kr/report/dog/upImg/1557658002_1152695881.jpg
2448,믹스견(치와와와 잉글리쉬 토이 테리어) , 수컷 , 10살 , 이름(둑이),2019-05-11,서울특별시 성북구 집 마당에서 탈출,흰색이 주색으로 귀와 귀주변이 검정색임. 정면에서 보아 우측 눈 주위가 검음.,http://www.angel.or.kr/report/dog/upImg/1557632826_171550599.jpg
2449,웰시 코기 카디건 , 수컷 , 5살 , 이름(빵실이),2019-05-11,충청남도 천안시 서북구 성정사거리 부근,검은목줄착용 겁이 많으며 사람을 좋아함,http://www.angel.or.kr/report/dog/upImg/1557814415_747375268.jpg
2450,미니어처 푸들 , 수컷 , 3살 , 이름(뿌미),2019-05-09,부산광역시 금정구 부곡동소심유치원 근처,현재 부츠컷 미용상태입니다 13키로 정도됩니다 눈이 커요,http://www.angel.or.kr/report/dog/upImg/1557551513_1469986452.jpg
2451,미니어처 슈나우저 , 수컷 , 13살 , 이름(해리),2019-04-29,"서울특별시 강남구 세곡동성당 근처, 율현공원","눈이 나쁨, 털이 짧음",
2452,비숑 프리제 , 암컷 , 5살 , 이름(숑숑이),2019-05-10,경기도 양평군 용문면 다문리 477-9,"털 안깍은지가 좀 되서 털이 긴편이고, 혀바닥에 중간에 점이 있습니다. 그리고 왼쪽 겨드랑이 쪽에 피부염이 있습니다.",http://www.angel.or.kr/report/dog/upImg/1557504410_2055884533.jpg
2453,사모예드 , 수컷 , 3살 , 이름(마루),2019-05-10,경기도 평택시 경기도평택시팽성읍신대리,흰색 사모예드 대형견 눈앞 아이라인이 특이함 온전히 검지않고 앞부분은 없음. 순둥하고 사람을 잘 따름,
2454, 5살,믹스견(진돗개 믹스견) , 수컷 , 5살,2019-04-28,충청북도 진천군 교성리 산,"흰색, 검은색, 은색털이 나있어요 성대수술, 중성화 수술했습니다.",http://www.angel.or.kr/report/dog/upImg/1557439902_1942948736.jpg
2455,믹스견 , 암컷 , 1살미만 , 이름(뭉치),2019-05-09,전라북도 군산시 경암동 경포천 근처,"방울이 달린 빨간 줄을 하고있고, 순하고 잘 짖지 않고, 사람을 잘 따라요",http://www.angel.or.kr/report/dog/upImg/1557402220_999687152.jpg
2456,진돗개 , 수컷 , 5살 , 이름(쫑쫑이),2019-04-30,"경상북도 문경시 산양공단인근,영순면일대",코위에 상처가 있음 실종시 파란색목줄을 착용,http://www.angel.or.kr/report/dog/upImg/1557381227_261273784.jpg
2457,시바 , 수컷 , 2살 , 이름(탄이),2019-05-07,경상남도 창원시 마산합포구 진동면 진동복지관 근처 하천 뚝길,주황색 하네스를 착용하고 있고 검은색털 소중한가족입니다 애타게 찾고 있으니 연락 부탁 드립니다,http://www.angel.or.kr/report/dog/upImg/1557240967_1902752491.jpg
2458,포메라니언 , 암컷 , 7살 , 이름(뽀미),2019-05-05,경상남도 김해시 장유 부영이그린 1차 1101동,크림과 흰색이 섞인색 ‥ 눈물자국없이 깨끗하고 물개컷하고 미용한지오래되지않았고 사림을 마니좋아하며 짖지않고 경계가 없어요 중성화는되어있고 3키로나가는 작은 포메입니다,http://www.angel.or.kr/report/dog/upImg/1557209296_376724171.jpg
2459,믹스견(요크셔) , 암컷 , 2살 , 이름(쪼코),2019-05-06,서울특별시 성북구 정릉2동,혓바닥에 상처가있습니다. 털민지 얼마되지 않아 털길이가 짧고 꼬리가 깁니다.,http://www.angel.or.kr/report/dog/upImg/1557192853_1796671559.jpg
2460,미니어처 슈나우저 , 수컷 , 7살 , 이름(바우),2019-05-05,경기도 파주시 법원읍 대능리 미나빌라 A동 인근,꼬리를 잘라서 짧은편임. 가슴에 갈매기 모양으로 흰색 털이 나있음. 한쪽 귀가 접혀있음. 겁이 많은 편이고 사람을 잘 따르지 않음. 아이들과 오토바이 소리에 예민함. 주인만아는 충견임. 내장칩도 되있음. 중성화 수술은 안했음.,http://www.angel.or.kr/report/dog/upImg/1557152109_136787585.jpg
2461,보더 콜리 , 수컷 , 1살 , 이름(오분이),2019-05-06,대구광역시 달서구 죽전동 용산중학교 부근,덩치가 크고 사회성이 떨어져서 목격하시면 잡으려 하지 마시고 바로 연락 주시면 감사하겠습니다ㅠㅠ 털 색깔이 블랙앤화이트라 밤에 잘 안 보일 수도 있어요,http://www.angel.or.kr/report/dog/upImg/1557151848_906118175.jpg
2462,제퍼니즈 스피츠 , 암컷 , 7살 , 이름(쪼꼬),2019-05-05,서울특별시 동작구 신대방역 4번출구 부근,"겁이 많고 잘 짖으며 사람을 무서워함, 현재 사진보다 털길이가 2cm정도 짧음, 다리가 길어서 빨리 뜀",http://www.angel.or.kr/report/dog/upImg/1557148618_352296216.jpg
2463,믹스견 , 수컷 , 4살 , 이름(콩이),2019-04-18,경상북도 김천시 김천 농소면 용암리 버섯농장,몸 전체가 흰색(살짝 누런색)이고 꼬리 부분이 털이 많아서 커보임. 귀엽게 생겼고 다리가 짧은 편임. 목에 콩이라고 적어놓은 목줄을 해놨음. 순한 편이고 심심하면 땅에 엎드려서 얼굴대고 누워있음. 차가 지나가면 엄청 짖으면서 달려들려고함. 그리고 눈 밑에 눈물자국(?)같은 검은 자국이 나있음.,http://www.angel.or.kr/report/dog/upImg/1557142839_969144721.jpg
2464,말티즈 , 암컷 , 17살 , 이름(별이),2019-05-04,전라남도 함평군 전남 함평군 향교리,가운데 꽁지머리로 묶고있음 흰색 말티즈 눈이 잘 안보임,http://www.angel.or.kr/report/dog/upImg/1557102479_1697365370.jpg
2465,토이 푸들 , 암컷 , 2살 , 이름(금이),2019-05-05,전라남도 여수시 국동대주아파트,"화이트 푸들, 크기가 작고 눈물자국이있음, 오른쪽 뒷발에 상처가있음.",http://www.angel.or.kr/report/dog/upImg/1557109628_1736479460.jpg
2466,시베리안 허스키 , 암컷 , 2살 , 이름(엘리),2019-05-04,경기도 양주시 비암리 309-8(효성종합 부근),회색털에 회색 목줄착용 걸을때 뒷다리가 벌어짐,http://www.angel.or.kr/report/dog/upImg/1557108379_873478474.jpg
2467,제퍼니즈 스피츠 , 수컷 , 10살 , 이름(뽀삐),2019-05-05,충청북도 증평군 증평읍송산리1009번지,분홍색코 털이 많이없음,http://www.angel.or.kr/report/dog/upImg/1557060031_422354728.jpg
2468,포메라니언 , 암컷 , 6살 , 이름(마리),2019-05-05,경기도 수원시 장안구 조원동 건강검진센터 건너편,몸무게 2키로에 코가 까져있고 앞니가 없습니다 배에 검은점이 있어요,http://www.angel.or.kr/report/dog/upImg/1557050281_1818879432.jpg
2469,말티즈 , 수컷 , 5살 , 이름(까까),2019-05-02,인천광역시 미추홀구 주안남부역(앞역),왼쪽눈의 눈물샘이 부어서 튀어나와있고 중성화수술이 되어있으며 성대수술을 해서 짖지 못합니다,http://www.angel.or.kr/report/dog/upImg/1557038404_1927740745.jpg
2470,포메라니언 , 수컷 , 4살 , 이름(방댕이),2019-04-30,전라북도 김제시 봉남면 대송리 봉남 면사무소 부근,곰돌이 컷이 되어있음 코는 분홍색이고 얼굴은 동그랗게 가위컷이고 눈물자국이 없어 깨끗함 몸에 털은 짧고 팔다리는 길며 엉덩이쪽 피부가 까만편임 겁이많아 자주 짖음,http://www.angel.or.kr/report/dog/upImg/1556966848_353796060.jpg
2471,시 츄 , 암컷 , 6살 , 이름(마음이),2019-05-03,전라북도 남원시 이백면 폐문마을-요천로-월락삼거리,"털 길이 2cm 미만, 흰색 털에 갈색 반점, 목걸이 미착용, 온순하고 사람 잘 따름, 겁 많음/내장칩미식립",http://www.angel.or.kr/report/dog/upImg/1557032299_779855355.jpg
2472,진돗개 , 수컷 , 4살 , 이름(해봉),2019-05-03,서울특별시 은평구 응암3동 대주아파트 근처,사납고 전체적으로 하얗지만 귀랑 등쪽이 갈색,http://www.angel.or.kr/report/dog/upImg/1556884414_213790622.jpg
2473,말티즈 , 암컷 , 8살 , 이름(코코),2019-04-29,경기도 김포시 집에서나감,다리가길어요,
2474,요크셔 테리어 , 수컷 , 7살 , 이름(미키),2019-05-02,서울특별시 은평구 역말사거리 인근,2키로 정도 나가고 완쪽 눈이 없고 꼬리가 길어요.,http://www.angel.or.kr/report/dog/upImg/1556852776_1548780804.jpg
2475,미니어쳐 핀셔 , 수컷 , 11살 , 이름(마루),2019-05-02,충청북도 제천시 제천메가박스 뒤편 남천이발관부근,치주염이있어 치아 상태가 좋지못하고 배에는 피부염으로인한 딱지가 있지만 옮기진 않습니다 뒷발발톱은 대부분 휘어있고 음낭부분에 털색이 거꾸로된 하트모양입니다 중성화도 시켜놨습니다 혀에는 얼룩이있고 갈비아래쪽에 부러졌다가 잘못붙은 흔적이있어 살짝 튀어나와있습니다,http://www.angel.or.kr/report/dog/upImg/1556809207_1392868911.jpg
2476,믹스견 , 암컷 , 3살 , 이름(몽이),2019-05-02,인천광역시 연수구 상기근린공원부근,"전반적으로 누런색털이나 입주위가 검은색 귀가 쫑긋하고, 사회성이 떨어져 주인외에는 다른사람들한테는 경계함 뒷발에 흰색 발톱1개 있음 이마에v표시 검은색털이 있으나 인상을 쓰면 주름이 지어져 가려짐",http://www.angel.or.kr/report/dog/upImg/1556798404_1749940126.jpg
2477,치와와 , 수컷 , 2살 , 이름(뚝딱이),2019-05-02,경기도 안산시 단원구 신길고등학교 부근,장모 치와와 노르스름한 털색이고 치와와 치곤 몸집이 큰편이예요..,http://www.angel.or.kr/report/dog/upImg/1556943609_1204040407.jpg
2478,믹스견(기틴견종) , 암컷 , 3살 , 이름(몽이),2019-05-02,인천광역시 연수구 선학초등학교에서 승기그린공원방향,누런색털이 전반적이고 입주위가 검정색 귀는 스피츠처럼 쫑긋함 뒷발에 흰색발톱이 한개있음 이마에 브이표시처럼 검은색털이 있음 겁이 엄청 많고 주인외에는 다른사람 경계함,http://www.angel.or.kr/report/dog/upImg/1556790883_19116708.jpg
2479,미니어쳐 핀셔 , 수컷 , 3살 , 이름(바비),2019-04-30,전라남도 화순군 앵무동길 / 앵남리 / 전남학숙 근처,#NAME?,http://www.angel.or.kr/report/dog/upImg/1556784088_1173096531.jpg
2480,푸들,미니어처 푸들 , 수컷 , 10살,2019-04-29,강원도 횡성군 읍상리,갈색 푸들입니다. 나이가 들어 얼굴이 새하얗게 샜습니다. 성대수술을 해서 쉰 목소리가 납니다.,http://www.angel.or.kr/report/dog/upImg/1556683898_10168720.jpg
2481,골든 리트리버 , 암컷 , 8살 , 이름(너울이),2019-04-19,강원도 원주시 단계동 이화마을,"순함,활발함,물을좋아함,아무사람 잘따름, 내장칩 있음",http://www.angel.or.kr/report/dog/upImg/1556542845_297479973.jpg
2482,믹스견 , 수컷 , 6살 , 이름(은비),2018-04-25,대전광역시 동구 대전 소제동 부근,수컷강아지이며 믹스견이고 다리가 약간 짧은편입니다,http://www.angel.or.kr/report/dog/upImg/1556531909_706128979.jpg
2483,진돗개 , 수컷 , 1살미만 , 이름(짜리),2019-04-28,충청남도 서산시 석남동 부근,"황색, 진도견 믹스, 꼬리에 검은얼룩 오른쪽귀만 완전히 펴짐 목줄 착용",http://www.angel.or.kr/report/dog/upImg/1556500395_293608656.jpg
2484,요크셔 테리어 , 암컷 , 17살 , 이름(미니),2019-04-28,광주광역시 서구 화정사거리,17살된 강아지로 걸음을 잘 걷지 못하고 빨간색 줄무늬 옷을 입고 마른편입니다,http://www.angel.or.kr/report/dog/upImg/1556444834_1195839483.jpg
2485,아메리칸 코커 스패니얼 , 암컷 , 8살 , 이름(몽이),2019-04-27,부산광역시 금정구 장전동 어린이 놀이터 부근,최근에 미용을했고 앞머리와 귀끝에만 털이 있는 버프코카스파니엘 입니다.,http://www.angel.or.kr/report/dog/upImg/1556442859_2044773513.jpg
2486,래브라도 리트리버 , 수컷 , 1살 , 이름(복길),2019-03-17,경기도 화성시 향남읍 화리현리,이름과 연락처 적힌 목걸이 착용중 양다리 종아리 윗부분 흉터 있음 사람 잘 따름 차를 겁내지 않음,http://www.angel.or.kr/report/dog/upImg/1556385739_1757268361.jpg
2487,믹스견(코카스파니엘과 골든리트리버믹스처럼 보) , 수컷 , 10살 , 이름(찐찌),2019-04-26,전라남도 목포시 산정동 삼학초 근처,밝은 갈색털에 다리가 짧음 꼬리가 길고 발톱이 긺 코가 갈색이고 조금 까져있음 사람을 매우 잘 따르진 않음 10키로 정도이고 크기는 중형견,http://www.angel.or.kr/report/dog/upImg/1556354982_9626812.jpg
2488,말티즈 , 암컷 , 7살 , 이름(규리),2019-04-26,인천광역시 미추홀구 제물포여중 근처,목과 어깨사이 칩이있어요 오른쪽앞발이 휘어있으며 사람을 좋아하지만 겁이많아서 눕고봅니다 눈물이많고 볼에 희미한 볼터치가되어있어요,http://www.angel.or.kr/report/dog/upImg/1556362805_28732973.jpg
2489,믹스견(라이카 혼혈) , 수컷 , 2살 , 이름(노식이),2019-04-20,경상북도 영주시 부석면 임곡리,검정 라이카 믹스견 가슴과 앞발은 흰색 털,http://www.angel.or.kr/report/dog/upImg/1556531373_1339453733.jpg
2490,시바 , 수컷 , 1살 , 이름(덕구),2019-04-26,서울특별시 강서구 방화동,목걸이가 있어요! 사람을 잘 따릅니다.,http://www.angel.or.kr/report/dog/upImg/1556276456_411902762.jpg
2491,말티즈 , 수컷 , 8살 , 이름(쿠키),2019-04-26,인천광역시 서구 인천 서구 당하동 풍림1차,미용한지 얼마 안됬고 허벅지에 수술자국있음,http://www.angel.or.kr/report/dog/upImg/1556269789_233253978.jpg
2492,치와와 , 수컷 , 6살 , 이름(강이),2019-04-13,경기도 남양주시 남양주시청근처공원,낑낑거림이 심하고 아주작고 마른편입니다 치와와입니다 블랙탄이고 머리부분은 약간 회색털도섞엿습니다,http://www.angel.or.kr/report/dog/upImg/1556199251_1948178055.jpg
2493,믹스견(진도와 허스키 혼혈(진도스키)) , 암컷 , 3살 , 이름(복순),2019-04-22,서울특별시 강남구 학동역 압구정동 동호대교,"하늘색 눈, 머리부터 꼬리까지 윗부분 옅은갈색, 팔다리배부분 흰색",http://www.angel.or.kr/report/dog/upImg/1556087566_676540206.jpg
2494,잉글리시 코커 스패니얼 , 암컷 , 15살 , 이름(애기),2019-04-22,경기도 파주시 청석마을 동문아파트 8단지,노령견 갈색의 털 눈이 잘 안보이고 귀가 안들려서 듣지를 못함. 배에 수술 흉터가 있음,http://www.angel.or.kr/report/dog/upImg/1556080660_887236871.jpg
2495,믹스견(누렁이) , 수컷 , 17살 , 이름(미담이),2019-04-12,부산광역시 사상구 학장동 학장천 부근,오른쪽 눈이 없습니다. 눈이 하나 없으니 바로 알수있습니다. 노란색갈의 누렁입니다. 올해로 17살 입니다.,http://www.angel.or.kr/report/dog/upImg/1556059837_1710001398.jpg
2496,말티즈 , 수컷 , 3살 , 이름(토토),2019-04-23,서울특별시 성북구 종암동 래미안라센트 근처,사람을 보면 잘 짖고 짖는 소리가 특히함 미용전이라 털이 복슬복슬함,http://www.angel.or.kr/report/dog/upImg/1556029772_1497634159.jpg
2497,믹스견(발바리) , 수컷 , 4살 , 이름(하루),2019-04-15,충청남도 홍성군 홍동면 구정리 인근,하얀색이랑 누런색이 섞인 발바리입니다 귀가 접혀있고 꼬리에 털이 복실하게 많아요 길이는 5~70센치정도고 다리가 길고 눈물자국 살짝 있습니다. 실종당시 주황색 목벨트에 회색 진드기퇴치용 목걸이를 하고 있었어요.,http://www.angel.or.kr/report/dog/upImg/1555983545_1117433369.jpg
2498,치와와 , 수컷 , 9살 , 이름(귀동),2019-04-20,전라북도 완주군 이서면 대농마을,갈색 단모종 치와와 2.5kg 눈이 아주크고 사람 모든강아지 좋아합니다. 나갈때 맨몸이었습니다. 근심있을때 이마에 주름이 잘잡힙니다. 허리가 긴편입니다.,http://www.angel.or.kr/report/dog/upImg/1555960315_1984522852.jpg
2499,믹스견 , 수컷 , 3살 , 이름(사탕이),2019-04-02,경기도 고양시 덕양구 현천동,앉아 손 할수있구요 처음보는사람한테 약간의 경계가있지만 활발하구 스피츠랑 샤모에드랑 섞여서 커요 첫번째 사진은 어렸을때사진이에요,http://www.angel.or.kr/report/dog/upImg/1555945747_66868547.jpg
2500,요크셔 테리어 , 암컷 , 7살 , 이름(달자),2019-04-22,경기도 안산시 단원구 와동(강서고쪽) 성민교회 근처,2.5~3kg 정도 등쪽은 전반적으로 회색 나머지 부분은 밝은 갈색 낯선 사람이 다가와도 자리에 엎드려서 꼬리 흔들고 가만히 있을 정도로 온순함,http://www.angel.or.kr/report/dog/upImg/1555945493_210137193.jpg
2501,말티즈 , 암컷 , 6살 , 이름(사랑이),2019-04-22,경기도 여주시 경이도 여주시 여흥로 70 부근,"눈이 크고, 사람을 좋아합니다. 꼬리 부분 사마귀(작은 혹)가 있습니다. 발 만지는 것을 싫어 합니다.",http://www.angel.or.kr/report/dog/upImg/1555943694_278747863.jpg
2502,포메라니언 , 수컷 , 3살 , 이름(복실이),2019-04-06,경상북도 영주시 영주 꽃동산부근 서천둔치 부근,미용한지 한두달정도지나서 살짝 털이 길어잇고 심장이 약해서 헛기침을 많이하고 인형물고다니는걸 좋아해요 일반포메에비해 다리가좀 긴편이고 잠복고환이예요,http://www.angel.or.kr/report/dog/upImg/1555900205_1605142976.jpg
2503,비숑 프리제 , 수컷 , 1살 , 이름(순돌이),2019-04-21,서울특별시 강북구 우이동 서라벌중학교부근 집,눈이큰편이고 눈물자국이있음 옆구리쪽에 과거분리불안으로 핧아 변색 가슴줄 없음,http://www.angel.or.kr/report/dog/upImg/1555843295_659859676.jpg
2504,말티즈 , 수컷 , 11살 , 이름(한별),2019-04-12,경기도 화성시 장안면독정리,양다리슬개골탈구 중성화 혀잘내밀고있음 양쪽귀외이도염 겁많음,http://www.angel.or.kr/report/dog/upImg/1555860762_1299831875.jpg
2505,비숑 프리제 , 암컷 , 1살미만 , 이름(모찌),2019-04-20,충청남도 아산시 아산시 신정호유원지,꼬리가 동그랗게 말려올라가 있구요 자주 헥헥거려요 물을 많이 마십니다 꼬리를 엊그제 제가 다듬어줘서 일자구요 귀에 마이로칩있어요 유치가 빠지고 이가 자라고 있습니다,http://www.angel.or.kr/report/dog/upImg/1555829450_150735435.jpg
2506,진돗개 , 암컷 , 5살 , 이름(오월이),2019-04-20,경기도 양평군 개군면,콧등에 찍힌 상처가 있어요. 겁이 많아요.,http://www.angel.or.kr/report/dog/upImg/1555793086_162125236.jpg
2507,미디엄 푸들 , 수컷 , 8살 , 이름(깜디),2019-04-20,경상남도 김해시 내동 모든민족교회/김덕규베이커리 부근,"검은색푸들 입주변과 목과 발주변 갈색,회색 털이있음",http://www.angel.or.kr/report/dog/upImg/1555777334_52933681.jpg
2508,믹스견(포메라니안과스피치) , 수컷 , 3살 , 이름(코코),2019-04-19,경기도 고양시 일산동구 사리현동 현대힐타운,목줄이랑 옷을 안 입고있고 사람을 좋아해서 코코라고 불러주면 따라와요,http://www.angel.or.kr/report/dog/upImg/1555760647_313070013.jpg
